"","MatchAsgName","cluster"
"1","ADVANCED CARDIOVASCULAR SYSTEMS INC",6
"2","BAXTER INTERNATIONAL INC",6
"3","BECTON DICKINSON AND COMPANY",6
"4","ETHICON INC",6
"5","KENNAMETAL INC",6
"6","MATTEL INC",6
"7","MEDTRONIC INC",6
"8","AFFYMETRIX INC",7
"9","AGILENT TECHNOLOGIES INC",7
"10","CORNING INCORPORATED",7
"11","SYMYX TECHNOLOGIES INC",7
"12","CABOT CORPORATION",9
"13","GENERAL MILLS INC",9
"14","MERCK PATENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG",9
"15","PPG INDUSTRIES OHIO INC",9
"16","RECOT INC",9
"17","ROHM AND HAAS COMPANY",9
"18","BAKER HUGHES INCORPORATED",13
"19","BSH BOSCH UND SIEMENS HAUSGERAETE GMBH",13
"20","EMERSON ELECTRIC CO",13
"21","HALLIBURTON ENERGY SERVICES INC",13
"22","LG ELECTRONICS INC",13
"23","MAYTAG CORPORATION",13
"24","SANYO ELECTRIC CO LTD",13
"25","SCHLUMBERGER TECHNOLOGY CORPORATION",13
"26","WHIRLPOOL CORPORATION",13
"27","ACUITY BRANDS INC",14
"28","ACUSHNET COMPANY",14
"29","ALLIANT TECHSYSTEMS INC",14
"30","ALSTOM (SWITZERLAND) LTD",14
"31","ALUMINUM COMPANY OF AMERICA",14
"32","ARVINMERITOR GMBH",14
"33","ASHLAND INC",14
"34","ASHLAND PRODUCTS INC",14
"35","AUTOLIV ASP INC",14
"36","BORGWARNER INC",14
"37","BRUNSWICK CORPORATION",14
"38","CALLAWAY GOLF COMPANY",14
"39","COLOR KINETICS INCORPORATED",14
"40","DAIMLERCHRYSLER AG",14
"41","DAIMLERCHRYSLER CORPORATION",14
"42","DANA CORPORATION",14
"43","DENSO CORPORATION",14
"44","EATON CORPORATION",14
"45","FISHER CONTROLS INTERNATIONAL INC",14
"46","FMC TECHNOLOGIES INC",14
"47","FORD GLOBAL TECHNOLOGIES INC",14
"48","FORD MOTOR COMPANY",14
"49","GENLYTE THOMAS GROUP LLC",14
"50","GENTEX CORPORATION",14
"51","HERMAN MILLER INC",14
"52","HILL ROM SERVICES INC",14
"53","LEAR CORPORATION",14
"54","MODINE MANUFACTURING COMPANY",14
"55","NISSAN MOTOR CO LTD",14
"56","NTN CORPORATION",14
"57","OTIS ELEVATOR COMPANY",14
"58","PARKER HANNIFIN CORPORATION",14
"59","SIEMENS VDO AUTOMOTIVE CORPORATION",14
"60","SIEMENS VDO AUTOMOTIVE INC",14
"61","SIEMENS WESTINGHOUSE POWER CORPORATION",14
"62","SPX CORPORATION",14
"63","STEELCASE DEVELOPMENT CORPORATION",14
"64","STERIS INC",14
"65","THE STANLEY WORKS",14
"66","THE TIMKEN COMPANY",14
"67","TOYODA GOSEI CO LTD",14
"68","TOYOTA JIDOSHA KABUSHIKI KAISHA",14
"69","UNITED TECHNOLOGIES CORPORATION",14
"70","WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION",14
"71","DELPHI TECHNOLOGIES INC",16
"72","FORD GLOBAL TECHNOLOGIES LLC",16
"73","GENERAL MOTORS CORPORATION",16
"74","ROBERT BOSCH GMBH",16
"75","VISTEON GLOBAL TECHNOLOGIES INC",16
"76","ABBOTT LABORATORIES",29
"77","AKZO NOBEL NV",29
"78","ARCHER DANIELS MIDLAND COMPANY",29
"79","ASTRAZENECA AB",29
"80","AVENTIS PHARMA DEUTSCHLAND GMBH",29
"81","AVENTIS PHARMA SA",29
"82","BRISTOL MYERS SQUIBB COMPANY",29
"83","CHIRON CORPORATION",29
"84","CIBA SPECIALTY CHEMICALS CORPORATION",29
"85","DIVERSA CORPORATION",29
"86","DOW GLOBAL TECHNOLOGIES INC",29
"87","EASTMAN CHEMICAL COMPANY",29
"88","ELI LILLY AND COMPANY",29
"89","GENENCOR INTERNATIONAL INC",29
"90","GENENTECH INC",29
"91","GERON CORPORATION",29
"92","HUMAN GENOME SCIENCES INC",29
"93","ISIS PHARMACEUTICALS INC",29
"94","KAO CORPORATION",29
"95","LARGE SCALE BIOLOGY CORPORATION",29
"96","MAXYGEN INC",29
"97","MERCK & CO INC",29
"98","MILLENNIUM PHARMACEUTICALS INC",29
"99","MONSANTO TECHNOLOGY LLC",29
"100","NOVARTIS AG",29
"101","PFIZER INC",29
"102","SCHERING CORPORATION",29
"103","UNILEVER HOME & PERSONAL CARE USA DIVISION OF CONOPCO INC",29
"104","WYETH",29
"105","ADVANCED MICRO DEVICES INC",32
"106","ALBANY INTERNATIONAL CORP",32
"107","ANALOG DEVICES INC",32
"108","CIRRUS LOGIC INC",32
"109","CYPRESS SEMICONDUCTOR CORP",32
"110","DIGIMARC CORPORATION",32
"111","INFINEON TECHNOLOGIES AG",32
"112","KONINKLIJKE PHILIPS ELECTRONICS NV",32
"113","KYOCERA WIRELESS CORP",32
"114","LSI LOGIC CORPORATION",32
"115","METROLOGIC INSTRUMENTS INC",32
"116","NATIONAL SEMICONDUCTOR CORPORATION",32
"117","NCR CORPORATION",32
"118","NEC ELECTRONICS CORPORATION",32
"119","NORTHROP GRUMMAN CORPORATION",32
"120","PITNEY BOWES INC",32
"121","RENESAS TECHNOLOGY CORP",32
"122","SKYWORKS SOLUTIONS INC",32
"123","STMICROELECTRONICS SA",32
"124","STMICROELECTRONICS SRL",32
"125","SUN MICROSYSTEMS INC",32
"126","TDK CORPORATION",32
"127","XEROX CORPORATION",32
"128","XILINX INC",32
"129","CHEVRON USA INC",33
"130","CONOCOPHILLIPS COMPANY",33
"131","ECOLAB INC",33
"132","EXXONMOBIL RESEARCH AND ENGINEERING COMPANY",33
"133","THE LUBRIZOL CORPORATION",33
"134","ADC TELECOMMUNICATIONS INC",38
"135","ALCATEL",38
"136","AT&T BELL LABORATORIES",38
"137","BELLSOUTH INTELLECTUAL PROPERTY CORPORATION",38
"138","CISCO TECHNOLOGY INC",38
"139","INTERDIGITAL TECHNOLOGY CORPORATION",38
"140","LUCENT TECHNOLOGIES INC",38
"141","MICROSOFT CORPORATION",38
"142","MOTOROLA INC",38
"143","NEC CORPORATION",38
"144","NOKIA CORPORATION",38
"145","NOKIA MOBILE PHONES LTD",38
"146","NORTEL NETWORKS LIMITED",38
"147","QUALCOMM INCORPORATED",38
"148","TELEFONAKTIEBOLAGET LM ERICSSON (PUBL)",38
